OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
3027,ACTIVE,21,2008-12-05T,"3252 UNIVERSITY AVE, SAN DIEGO, CA  92104-2036",6293041.24753,1853335.48765,Apro 41
3028,ACTIVE,47,2008-11-13T,"485 VANDEGRIFT BLVD, OCEANSIDE, CA  92057-4335",6240836.86667,2037802.33333,Marietas Oceanside Inc
3029,ACTIVE,21,2008-12-05T,"1666 1ST AVE, SAN DIEGO, CA  92101-3004",-1,-1,Apro 40
3030,ACTIVE,20,2008-12-15T,"12929 RANCHO PENASQUITOS BLVD, SAN DIEGO, CA  92129-2922",6298488.60777,1927311.13291,Apro 43
3031,ACTIVE,48,2008-12-08T,"4471-73 GRESHAM ST, SAN DIEGO, CA  92109-4226",6255526.548,1874066.314,P B Pub
3032,ACTIVE,20,2008-12-10T,"3401 COLLEGE BLVD, OCEANSIDE, CA  92056-4614",6241520.00504,2011647.3096,Apro 44
3033,ACTIVE,20,2008-11-24T,"695 EL CAJON BLVD, EL CAJON, CA  92020-4337",6339121.44919,1867222.03086,Apro 42
3034,ACTIVE,41,2010-04-26T,"300 CARLSBAD VILLAGE DR, STE 214, CARLSBAD, CA  92008-2991",6224874.7813,2003406.33646,Sushi Taisho
3035,ACTIVE,41,2009-03-26T,"9254 SCRANTON RD, STE 102, SAN DIEGO, CA  92121-7712",6269560.63735,1905263.92899,Shere Punjab Restaurant
3036,ACTIVE,20,2008-12-02T,"6986 EL CAMINO REAL, STE D, CARLSBAD, CA  92009-4110",6261019.797,1936914.786,La Costa Wine Co Wine Street
3037,ACTIVE,20,2008-11-26T,"3302 PALM AVE, SAN DIEGO, CA  92154-1662",6293260.33456,1848609.7193,G & M Oil Co # 172
3038,ACTIVE,20,2008-11-26T,"8815 LAKE MURRAY BLVD, SAN DIEGO, CA  92119-2103",6328285.17397,1872905.27353,G & M Oil Co 178
3039,ACTIVE,20,2008-12-15T,"S COAST HIGHWAY 101 NEAR CHESTERFIELD DR, ENCINITAS, CA  92007",-1,-1,San Elijo Camp Store
3040,ACTIVE,20,2008-12-19T,"HIGHWAY 101 S CARLSBAD STATE BEACH CAMPGROUNDS, CARLSBAD, CA  92008",-1,-1,Carlsbad Camp Store
3041,ACTIVE,47,2009-04-03T,"202-212 N TREMONT ST, OCEANSIDE, CA  92054",6215783.862,2016763.7,Davinas Cabo Grill
3042,ACTIVE,47,2008-12-19T,"2990 JAMACHA RD, STE 120-128, EL CAJON, CA  92019-4320",6348891.84319,1849907.51852,Press Box Sports Lounge
3043,ACTIVE,21,2008-12-16T,"1655 BROADWAY, STE 21, CHULA VISTA, CA  91911-4855",6307139.66102,1797371.33697,El Nopal Market 1
3044,ACTIVE,47,2010-03-09T,"1002 N COAST HIGHWAY 101, STE 2, ENCINITAS, CA  92024-1469",6239004.1174,1969388.18801,Le Papagayo
